County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
HARTLEY,1216309.0,1617746.0,2035119.0,3056331.0,3579328.0,3909739.0,3668264.0,3087915.0,3747593.0,3886522.0,4284147.0,5620363.0,6332976.0,7503344.0,8884517.0,5874447.0
HASKELL,3885005.0,4286037.0,6757588.0,7750863.0,9886191.0,11073804.0,12798206.0,12478115.0,11015568.0,11079840.0,9217186.0,8046676.0,7242696.0,5936151.0,5071836.0,3749382.0
HAYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMPHILL,20090183.0,19919656.0,17227954.0,18344043.0,21098299.0,22955175.0,19545085.0,17233438.0,19368778.0,22932916.0,14160893.0,10759230.0,9791922.0,8535389.0,7767811.0,5363922.0
HENDERSON,6624312.0,7402093.0,6991753.0,6075057.0,5505261.0,4355504.0,3253300.0,2593027.0,3029392.0,3539635.0,3334213.0,2712075.0,2389378.0,2419668.0,2176431.0,1607424.0
HIDALGO,16798714.0,13472134.0,12350180.0,12053217.0,11563648.0,11016770.0,10231414.0,8702627.0,10043153.0,7830250.0,5998361.0,5734957.0,5096621.0,4952479.0,4713540.0,3623200.0
HILL,1691961.0,2184226.0,2211858.0,1631899.0,1354674.0,1193704.0,1050707.0,826386.0,983072.0,869447.0,719856.0,660120.0,560579.0,622307.0,544986.0,461714.0
HOCKLEY,310864770.0,300716006.0,295727359.0,279846969.0,273395724.0,265616331.0,257172459.0,241839842.0,239099871.0,204601148.0,188684288.0,184962238.0,180516395.0,173129204.0,174733729.0,124366777.0
HOOD,19911811.0,19583775.0,16538555.0,12848089.0,10991742.0,6781103.0,8714993.0,10046043.0,9228438.0,8510525.0,6444623.0,6081791.0,6382037.0,6444153.0,6753141.0,4578735.0
HOPKINS,5833505.0,5562294.0,5589999.0,5766000.0,6010467.0,4272033.0,4089774.0,4649259.0,5087182.0,5971370.0,5493364.0,5495185.0,4910478.0,4333716.0,4102866.0,3023561.0
HOUSTON,17819092.0,19707050.0,21809815.0,25428297.0,31672847.0,31067484.0,24784450.0,20499567.0,19073564.0,16762399.0,10465976.0,10257889.0,12950266.0,14026272.0,11420107.0,8210862.0
HOWARD,134925348.0,149994202.0,170819046.0,176797675.0,214031728.0,235048066.0,224971323.0,263944019.0,354630193.0,396968440.0,397160521.0,424992644.0,439139989.0,500322205.0,480099302.0,368610788.0
HUDSPETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
